title,GMTED1km,GMTED5km,GMTED10km,GMTED50km,GMTED100km,Sources Layers,Sources Layers,SRTM1km,SRTM5km,SRTM10km,SRTM50km,SRTM100km
 Aspect Eastness – Minimum,eastness_1KMmi_GMTEDmd,eastness_5KMmi_GMTEDmd,eastness_10KMmi_GMTEDmd,eastness_50KMmi_GMTEDmd,eastness_100KMmi_GMTEDmd,GMTED,SRTM,eastness_1KMmi_SRTM,eastness_5KMmi_SRTM,eastness_10KMmi_SRTM,eastness_50KMmi_SRTM,eastness_100KMmi_SRTM
 Aspect Eastness – Maximum,eastness_1KMma_GMTEDmd,eastness_5KMma_GMTEDmd,eastness_10KMma_GMTEDmd,eastness_50KMma_GMTEDmd,eastness_100KMma_GMTEDmd,GMTED,SRTM,eastness_1KMma_SRTM,eastness_5KMma_SRTM,eastness_10KMma_SRTM,eastness_50KMma_SRTM,eastness_100KMma_SRTM
 Aspect Eastness - Standard deviation,eastness_1KMsd_GMTEDmd,eastness_5KMsd_GMTEDmd,eastness_10KMsd_GMTEDmd,eastness_50KMsd_GMTEDmd,eastness_100KMsd_GMTEDmd,GMTED,SRTM,eastness_1KMsd_SRTM,eastness_5KMsd_SRTM,eastness_10KMsd_SRTM,eastness_50KMsd_SRTM,eastness_100KMsd_SRTM
 Aspect Northness - Median,northness_1KMmd_GMTEDmd,northness_5KMmd_GMTEDmd,northness_10KMmd_GMTEDmd,northness_50KMmd_GMTEDmd,northness_100KMmd_GMTEDmd,GMTED,SRTM,northness_1KMmd_SRTM,northness_5KMmd_SRTM,northness_10KMmd_SRTM,northness_50KMmd_SRTM,northness_100KMmd_SRTM
 Aspect Northness – Mean,northness_1KMmn_GMTEDmd,northness_5KMmn_GMTEDmd,northness_10KMmn_GMTEDmd,northness_50KMmn_GMTEDmd,northness_100KMmn_GMTEDmd,GMTED,SRTM,northness_1KMmn_SRTM,northness_5KMmn_SRTM,northness_10KMmn_SRTM,northness_50KMmn_SRTM,northness_100KMmn_SRTM
 Aspect Northness – Minimum,northness_1KMmi_GMTEDmd,northness_5KMmi_GMTEDmd,northness_10KMmi_GMTEDmd,northness_50KMmi_GMTEDmd,northness_100KMmi_GMTEDmd,GMTED,SRTM,northness_1KMmi_SRTM,northness_5KMmi_SRTM,northness_10KMmi_SRTM,northness_50KMmi_SRTM,northness_100KMmi_SRTM
 Aspect Northness – Maximum,northness_1KMma_GMTEDmd,northness_5KMma_GMTEDmd,northness_10KMma_GMTEDmd,northness_50KMma_GMTEDmd,northness_100KMma_GMTEDmd,GMTED,SRTM,northness_1KMma_SRTM,northness_5KMma_SRTM,northness_10KMma_SRTM,northness_50KMma_SRTM,northness_100KMma_SRTM
 Aspect Northness - Standard deviation,northness_1KMsd_GMTEDmd,northness_5KMsd_GMTEDmd,northness_10KMsd_GMTEDmd,northness_50KMsd_GMTEDmd,northness_100KMsd_GMTEDmd,GMTED,SRTM,northness_1KMsd_SRTM,northness_5KMsd_SRTM,northness_10KMsd_SRTM,northness_50KMsd_SRTM,northness_100KMsd_SRTM
First order partial derivative (E-W slope) - Median,dxx_1KMmd_GMTEDmd,dxx_5KMmd_GMTEDmd,dxx_10KMmd_GMTEDmd,dxx_50KMmd_GMTEDmd,dxx_100KMmd_GMTEDmd,GMTED,,,,,,
First order partial derivative (E-W slope) - Mean,dxx_1KMmn_GMTEDmd,dxx_5KMmn_GMTEDmd,dxx_10KMmn_GMTEDmd,dxx_50KMmn_GMTEDmd,dxx_100KMmn_GMTEDmd,GMTED,,,,,,
First order partial derivative (E-W slope) - Minimum,dxx_1KMmi_GMTEDmd,dxx_5KMmi_GMTEDmd,dxx_10KMmi_GMTEDmd,dxx_50KMmi_GMTEDmd,dxx_100KMmi_GMTEDmd,GMTED,,,,,,
First order partial derivative (E-W slope) - Maximum,dxx_1KMma_GMTEDmd,dxx_5KMma_GMTEDmd,dxx_10KMma_GMTEDmd,dxx_50KMma_GMTEDmd,dxx_100KMma_GMTEDmd,GMTED,,,,,,
First order partial derivative (E-W slope) - Standard deviation,dxx_1KMsd_GMTEDmd,dxx_5KMsd_GMTEDmd,dxx_10KMsd_GMTEDmd,dxx_50KMsd_GMTEDmd,dxx_100KMsd_GMTEDmd,GMTED,,,,,,
Second order partial derivative (E-W slope) - Median,dxx_1KMmd_GMTEDmd,dxx_5KMmd_GMTEDmd,dxx_10KMmd_GMTEDmd,dxx_50KMmd_GMTEDmd,dxx_100KMmd_GMTEDmd,GMTED,,,,,,
Second order partial derivative (E-W slope) - Mean,dxx_1KMmn_GMTEDmd,dxx_5KMmn_GMTEDmd,dxx_10KMmn_GMTEDmd,dxx_50KMmn_GMTEDmd,dxx_100KMmn_GMTEDmd,GMTED,,,,,,
Second order partial derivative (E-W slope) - Minimum,dxx_1KMmi_GMTEDmd,dxx_5KMmi_GMTEDmd,dxx_10KMmi_GMTEDmd,dxx_50KMmi_GMTEDmd,dxx_100KMmi_GMTEDmd,GMTED,,,,,,
Second order partial derivative (E-W slope) - Maximum,dxx_1KMma_GMTEDmd,dxx_5KMma_GMTEDmd,dxx_10KMma_GMTEDmd,dxx_50KMma_GMTEDmd,dxx_100KMma_GMTEDmd,GMTED,,,,,,
Second order partial derivative (E-W slope) - Standard deviation,dxx_1KMsd_GMTEDmd,dxx_5KMsd_GMTEDmd,dxx_10KMsd_GMTEDmd,dxx_50KMsd_GMTEDmd,dxx_100KMsd_GMTEDmd,GMTED,,,,,,
First order partial derivative (N-S slope) - Median,dy_1KMmd_GMTEDmd,dy_5KMmd_GMTEDmd,dy_10KMmd_GMTEDmd,dy_50KMmd_GMTEDmd,dy_100KMmd_GMTEDmd,GMTED,,,,,,
First order partial derivative (N-S slope) - Mean,dy_1KMmn_GMTEDmd,dy_5KMmn_GMTEDmd,dy_10KMmn_GMTEDmd,dy_50KMmn_GMTEDmd,dy_100KMmn_GMTEDmd,GMTED,,,,,,
First order partial derivative (N-S slope) - Minimum,dy_1KMmi_GMTEDmd,dy_5KMmi_GMTEDmd,dy_10KMmi_GMTEDmd,dy_50KMmi_GMTEDmd,dy_100KMmi_GMTEDmd,GMTED,,,,,,
First order partial derivative (N-S slope) - Maximum,dy_1KMma_GMTEDmd,dy_5KMma_GMTEDmd,dy_10KMma_GMTEDmd,dy_50KMma_GMTEDmd,dy_100KMma_GMTEDmd,GMTED,,,,,,
First order partial derivative (N-S slope) - Standard deviation,dy_1KMsd_GMTEDmd,dy_5KMsd_GMTEDmd,dy_10KMsd_GMTEDmd,dy_50KMsd_GMTEDmd,dy_100KMsd_GMTEDmd,GMTED,,,,,,
Second order partial derivative (N-S slope) - Median,dyy_1KMmd_GMTEDmd,dyy_5KMmd_GMTEDmd,dyy_10KMmd_GMTEDmd,dyy_50KMmd_GMTEDmd,dyy_100KMmd_GMTEDmd,GMTED,,,,,,
Second order partial derivative (N-S slope) - Mean,dyy_1KMmn_GMTEDmd,dyy_5KMmn_GMTEDmd,dyy_10KMmn_GMTEDmd,dyy_50KMmn_GMTEDmd,dyy_100KMmn_GMTEDmd,GMTED,,,,,,
Second order partial derivative (N-S slope) - Minimum,dyy_1KMmi_GMTEDmd,dyy_5KMmi_GMTEDmd,dyy_10KMmi_GMTEDmd,dyy_50KMmi_GMTEDmd,dyy_100KMmi_GMTEDmd,GMTED,,,,,,
Second order partial derivative (N-S slope) - Maximum,dyy_1KMma_GMTEDmd,dyy_5KMma_GMTEDmd,dyy_10KMma_GMTEDmd,dyy_50KMma_GMTEDmd,dyy_100KMma_GMTEDmd,GMTED,,,,,,
Second order partial derivative (N-S slope) - Standard deviation,dyy_1KMsd_GMTEDmd,dyy_5KMsd_GMTEDmd,dyy_10KMsd_GMTEDmd,dyy_50KMsd_GMTEDmd,dyy_100KMsd_GMTEDmd,GMTED,,,,,,
 Profile curvature - Median,pcurv_1KMmd_GMTEDmd,pcurv_5KMmd_GMTEDmd,pcurv_10KMmd_GMTEDmd,pcurv_50KMmd_GMTEDmd,pcurv_100KMmd_GMTEDmd,GMTED,,,,,,
 Profile curvature – Mean,pcurv_1KMmn_GMTEDmd,pcurv_5KMmn_GMTEDmd,pcurv_10KMmn_GMTEDmd,pcurv_50KMmn_GMTEDmd,pcurv_100KMmn_GMTEDmd,GMTED,,,,,,
 Profile curvature – Minimum ,pcurv_1KMmi_GMTEDmd,pcurv_5KMmi_GMTEDmd,pcurv_10KMmi_GMTEDmd,pcurv_50KMmi_GMTEDmd,pcurv_100KMmi_GMTEDmd,GMTED,,,,,,
 Profile curvature - Maximum    ,pcurv_1KMma_GMTEDmd,pcurv_5KMma_GMTEDmd,pcurv_10KMma_GMTEDmd,pcurv_50KMma_GMTEDmd,pcurv_100KMma_GMTEDmd,GMTED,,,,,,
 Profile curvature - Standard deviation     ,pcurv_1KMsd_GMTEDmd,pcurv_5KMsd_GMTEDmd,pcurv_10KMsd_GMTEDmd,pcurv_50KMsd_GMTEDmd,pcurv_100KMsd_GMTEDmd,GMTED,,,,,,
 Tangential curvature - Median,tcurv_1KMmd_GMTEDmd,tcurv_5KMmd_GMTEDmd,tcurv_10KMmd_GMTEDmd,tcurv_50KMmd_GMTEDmd,tcurv_100KMmd_GMTEDmd,GMTED,,,,,,
 Tangential curvature – Mean,tcurv_1KMmn_GMTEDmd,tcurv_5KMmn_GMTEDmd,tcurv_10KMmn_GMTEDmd,tcurv_50KMmn_GMTEDmd,tcurv_100KMmn_GMTEDmd,GMTED,,,,,,
 Tangential curvature – Minimum ,tcurv_1KMmi_GMTEDmd,tcurv_5KMmi_GMTEDmd,tcurv_10KMmi_GMTEDmd,tcurv_50KMmi_GMTEDmd,tcurv_100KMmi_GMTEDmd,GMTED,,,,,,
 Tangential curvature - Maximum    ,tcurv_1KMma_GMTEDmd,tcurv_5KMma_GMTEDmd,tcurv_10KMma_GMTEDmd,tcurv_50KMma_GMTEDmd,tcurv_100KMma_GMTEDmd,GMTED,,,,,,
 Tangential curvature - Standard deviation     ,tcurv_1KMsd_GMTEDmd,tcurv_5KMsd_GMTEDmd,tcurv_10KMsd_GMTEDmd,tcurv_50KMsd_GMTEDmd,tcurv_100KMsd_GMTEDmd,GMTED,,,,,,
 Roughness - Median,roughness_1KMmd_GMTEDmd,roughness_5KMmd_GMTEDmd,roughness_10KMmd_GMTEDmd,roughness_50KMmd_GMTEDmd,roughness_100KMmd_GMTEDmd,GMTED,SRTM,roughness_1KMmd_SRTM,roughness_5KMmd_SRTM,roughness_10KMmd_SRTM,roughness_50KMmd_SRTM,roughness_100KMmd_SRTM
 Roughness – Mean,roughness_1KMmn_GMTEDmd,roughness_5KMmn_GMTEDmd,roughness_10KMmn_GMTEDmd,roughness_50KMmn_GMTEDmd,roughness_100KMmn_GMTEDmd,GMTED,SRTM,roughness_1KMmn_SRTM,roughness_5KMmn_SRTM,roughness_10KMmn_SRTM,roughness_50KMmn_SRTM,roughness_100KMmn_SRTM
 Roughness – Minimum ,roughness_1KMmi_GMTEDmd,roughness_5KMmi_GMTEDmd,roughness_10KMmi_GMTEDmd,roughness_50KMmi_GMTEDmd,roughness_100KMmi_GMTEDmd,GMTED,SRTM,roughness_1KMmi_SRTM,roughness_5KMmi_SRTM,roughness_10KMmi_SRTM,roughness_50KMmi_SRTM,roughness_100KMmi_SRTM
 Roughness - Maximum    ,roughness_1KMma_GMTEDmd,roughness_5KMma_GMTEDmd,roughness_10KMma_GMTEDmd,roughness_50KMma_GMTEDmd,roughness_100KMma_GMTEDmd,GMTED,SRTM,roughness_1KMma_SRTM,roughness_5KMma_SRTM,roughness_10KMma_SRTM,roughness_50KMma_SRTM,roughness_100KMma_SRTM
 Roughness - Standard deviation     ,roughness_1KMsd_GMTEDmd,roughness_5KMsd_GMTEDmd,roughness_10KMsd_GMTEDmd,roughness_50KMsd_GMTEDmd,roughness_100KMsd_GMTEDmd,GMTED,SRTM,roughness_1KMsd_SRTM,roughness_5KMsd_SRTM,roughness_10KMsd_SRTM,roughness_50KMsd_SRTM,roughness_100KMsd_SRTM
 Topographic Position Index - Median,tpi_1KMmd_GMTEDmd,tpi_5KMmd_GMTEDmd,tpi_10KMmd_GMTEDmd,tpi_50KMmd_GMTEDmd,tpi_100KMmd_GMTEDmd,GMTED,SRTM,tpi_1KMmd_SRTM,tpi_5KMmd_SRTM,tpi_10KMmd_SRTM,tpi_50KMmd_SRTM,tpi_100KMmd_SRTM
 Topographic Position Index – Mean,tpi_1KMmn_GMTEDmd,tpi_5KMmn_GMTEDmd,tpi_10KMmn_GMTEDmd,tpi_50KMmn_GMTEDmd,tpi_100KMmn_GMTEDmd,GMTED,SRTM,tpi_1KMmn_SRTM,tpi_5KMmn_SRTM,tpi_10KMmn_SRTM,tpi_50KMmn_SRTM,tpi_100KMmn_SRTM
 Topographic Position Index – Minimum ,tpi_1KMmi_GMTEDmd,tpi_5KMmi_GMTEDmd,tpi_10KMmi_GMTEDmd,tpi_50KMmi_GMTEDmd,tpi_100KMmi_GMTEDmd,GMTED,SRTM,tpi_1KMmi_SRTM,tpi_5KMmi_SRTM,tpi_10KMmi_SRTM,tpi_50KMmi_SRTM,tpi_100KMmi_SRTM
 Topographic Position Index - Maximum    ,tpi_1KMma_GMTEDmd,tpi_5KMma_GMTEDmd,tpi_10KMma_GMTEDmd,tpi_50KMma_GMTEDmd,tpi_100KMma_GMTEDmd,GMTED,SRTM,tpi_1KMma_SRTM,tpi_5KMma_SRTM,tpi_10KMma_SRTM,tpi_50KMma_SRTM,tpi_100KMma_SRTM
 Topographic Position Index - Standard deviation     ,tpi_1KMsd_GMTEDmd,tpi_5KMsd_GMTEDmd,tpi_10KMsd_GMTEDmd,tpi_50KMsd_GMTEDmd,tpi_100KMsd_GMTEDmd,GMTED,SRTM,tpi_1KMsd_SRTM,tpi_5KMsd_SRTM,tpi_10KMsd_SRTM,tpi_50KMsd_SRTM,tpi_100KMsd_SRTM
 Terrain Ruggedness Index - Median,tri_1KMmd_GMTEDmd,tri_5KMmd_GMTEDmd,tri_10KMmd_GMTEDmd,tri_50KMmd_GMTEDmd,tri_100KMmd_GMTEDmd,GMTED,SRTM,tri_1KMmd_SRTM,tri_5KMmd_SRTM,tri_10KMmd_SRTM,tri_50KMmd_SRTM,tri_100KMmd_SRTM
 Terrain Ruggedness Index – Mean,tri_1KMmn_GMTEDmd,tri_5KMmn_GMTEDmd,tri_10KMmn_GMTEDmd,tri_50KMmn_GMTEDmd,tri_100KMmn_GMTEDmd,GMTED,SRTM,tri_1KMmn_SRTM,tri_5KMmn_SRTM,tri_10KMmn_SRTM,tri_50KMmn_SRTM,tri_100KMmn_SRTM
 Terrain Ruggedness Index – Minimum ,tri_1KMmi_GMTEDmd,tri_5KMmi_GMTEDmd,tri_10KMmi_GMTEDmd,tri_50KMmi_GMTEDmd,tri_100KMmi_GMTEDmd,GMTED,SRTM,tri_1KMmi_SRTM,tri_5KMmi_SRTM,tri_10KMmi_SRTM,tri_50KMmi_SRTM,tri_100KMmi_SRTM
 Terrain Ruggedness Index - Maximum    ,tri_1KMma_GMTEDmd,tri_5KMma_GMTEDmd,tri_10KMma_GMTEDmd,tri_50KMma_GMTEDmd,tri_100KMma_GMTEDmd,GMTED,SRTM,tri_1KMma_SRTM,tri_5KMma_SRTM,tri_10KMma_SRTM,tri_50KMma_SRTM,tri_100KMma_SRTM
 Terrain Ruggedness Index - Standard deviation     ,tri_1KMsd_GMTEDmd,tri_5KMsd_GMTEDmd,tri_10KMsd_GMTEDmd,tri_50KMsd_GMTEDmd,tri_100KMsd_GMTEDmd,GMTED,SRTM,tri_1KMsd_SRTM,tri_5KMsd_SRTM,tri_10KMsd_SRTM,tri_50KMsd_SRTM,tri_100KMsd_SRTM
 Vector Ruggedness Measure - Median,vrm_1KMmd_GMTEDmd,vrm_5KMmd_GMTEDmd,vrm_10KMmd_GMTEDmd,vrm_50KMmd_GMTEDmd,vrm_100KMmd_GMTEDmd,GMTED,SRTM,vrm_1KMmd_SRTM,vrm_5KMmd_SRTM,vrm_10KMmd_SRTM,vrm_50KMmd_SRTM,vrm_100KMmd_SRTM
 Vector Ruggedness Measure – Mean,vrm_1KMmn_GMTEDmd,vrm_5KMmn_GMTEDmd,vrm_10KMmn_GMTEDmd,vrm_50KMmn_GMTEDmd,vrm_100KMmn_GMTEDmd,GMTED,SRTM,vrm_1KMmn_SRTM,vrm_5KMmn_SRTM,vrm_10KMmn_SRTM,vrm_50KMmn_SRTM,vrm_100KMmn_SRTM
 Vector Ruggedness Measure – Minimum ,vrm_1KMmi_GMTEDmd,vrm_5KMmi_GMTEDmd,vrm_10KMmi_GMTEDmd,vrm_50KMmi_GMTEDmd,vrm_100KMmi_GMTEDmd,GMTED,SRTM,vrm_1KMmi_SRTM,vrm_5KMmi_SRTM,vrm_10KMmi_SRTM,vrm_50KMmi_SRTM,vrm_100KMmi_SRTM
 Vector Ruggedness Measure - Maximum    ,vrm_1KMma_GMTEDmd,vrm_5KMma_GMTEDmd,vrm_10KMma_GMTEDmd,vrm_50KMma_GMTEDmd,vrm_100KMma_GMTEDmd,GMTED,SRTM,vrm_1KMma_SRTM,vrm_5KMma_SRTM,vrm_10KMma_SRTM,vrm_50KMma_SRTM,vrm_100KMma_SRTM
Vector Ruggedness Measure - Standard deviation     ,vrm_1KMsd_GMTEDmd,vrm_5KMsd_GMTEDmd,vrm_10KMsd_GMTEDmd,vrm_50KMsd_GMTEDmd,vrm_100KMsd_GMTEDmd,GMTED,SRTM,vrm_1KMsd_SRTM,vrm_5KMsd_SRTM,vrm_10KMsd_SRTM,vrm_50KMsd_SRTM,vrm_100KMsd_SRTM
